Hz,dB(vout/vin)
158854.671875,-16.8980102539063
159220.875,-16.8979911804199
159587.921875,-16.8979721069336
159955.796875,-16.8979530334473
160324.546875,-16.8979358673096
160694.125,-16.8979167938232
161064.5625,-16.8978977203369
161435.859375,-16.8978786468506
161808,-16.8978614807129
162181.015625,-16.8978424072266
162554.875,-16.8978233337402
162929.609375,-16.8978042602539
163305.1875,-16.8977851867676
163681.65625,-16.8977642059326
164058.984375,-16.8977451324463
164437.171875,-16.89772605896
164816.234375,-16.8977069854736
165196.1875,-16.8976879119873
165577,-16.8976669311523
165958.6875,-16.897647857666
166341.265625,-16.8976268768311
166724.71875,-16.8976078033447
167109.0625,-16.8975868225098
167494.28125,-16.8975677490234
167880.40625,-16.8975467681885
168267.40625,-16.8975276947021
168655.296875,-16.8975067138672
169044.09375,-16.8974857330322
169433.78125,-16.8974647521973
169824.359375,-16.8974437713623
170215.84375,-16.8974227905273
170608.234375,-16.8974018096924
171001.53125,-16.8973808288574
171395.734375,-16.8973598480225
171790.84375,-16.8973388671875
172186.859375,-16.8973178863525
172583.796875,-16.8972969055176
172981.640625,-16.897274017334
173380.40625,-16.897253036499
173780.078125,-16.8972320556641
174180.6875,-16.8972091674805
174582.21875,-16.8971881866455
174984.671875,-16.8971652984619
175388.046875,-16.897144317627
175792.359375,-16.8971214294434
176197.609375,-16.8970985412598
176603.78125,-16.8970775604248
177010.890625,-16.8970546722412
177418.953125,-16.8970317840576
177827.9375,-16.897008895874
178237.875,-16.8969860076904
178648.75,-16.8969631195068
179060.578125,-16.8969402313232
179473.359375,-16.8969173431396
179887.09375,-16.8968944549561
180301.78125,-16.8968696594238
180717.40625,-16.8968467712402
181134.015625,-16.8968238830566
181551.5625,-16.8967990875244
181970.078125,-16.8967761993408
182389.5625,-16.8967514038086
182810.015625,-16.8967266082764
183231.4375,-16.8967037200928
183653.828125,-16.8966789245605
184077.203125,-16.8966541290283
184501.546875,-16.8966293334961
184926.859375,-16.8966064453125
185353.15625,-16.8965816497803
185780.453125,-16.8965549468994
186208.71875,-16.8965301513672
186637.96875,-16.896505355835
187068.21875,-16.8964805603027
187499.453125,-16.8964557647705
187931.6875,-16.8964309692383
188364.90625,-16.8964042663574
188799.140625,-16.8963794708252
189234.359375,-16.8963527679443
189670.59375,-16.8963279724121
190107.828125,-16.8963012695313
190546.078125,-16.8962745666504
190985.328125,-16.8962497711182
191425.59375,-16.8962230682373
191866.875,-16.8961963653564
192309.171875,-16.8961696624756
192752.484375,-16.8961429595947
193196.828125,-16.8961162567139
193642.203125,-16.896089553833
194088.59375,-16.8960609436035
194536.015625,-16.8960342407227
194984.453125,-16.8960075378418
195433.953125,-16.8959808349609
195884.46875,-16.8959522247314
196336.03125,-16.895923614502
196788.625,-16.8958969116211
197242.28125,-16.8958683013916
197696.96875,-16.8958396911621
198152.703125,-16.8958110809326
198609.484375,-16.8957843780518
199067.328125,-16.8957557678223
199526.234375,-16.8957271575928
199986.1875,-16.8956985473633
200447.203125,-16.8956699371338
200909.28125,-16.8956394195557
201372.421875,-16.8956108093262
201836.640625,-16.895580291748
202301.921875,-16.8955516815186
202768.265625,-16.8955230712891
203235.703125,-16.8954925537109
203704.203125,-16.8954620361328
204173.796875,-16.8954315185547
204644.46875,-16.8954029083252
205116.21875,-16.8953723907471
205589.0625,-16.8953418731689
206062.984375,-16.8953113555908
206538.015625,-16.8952808380127
207014.140625,-16.8952503204346
207491.359375,-16.8952198028564
207969.671875,-16.8951873779297
208449.09375,-16.8951568603516
208929.609375,-16.8951244354248
209411.25,-16.8950939178467
209893.984375,-16.8950614929199
210377.84375,-16.8950290679932
210862.8125,-16.894998550415
211348.90625,-16.8949661254883
211836.109375,-16.8949337005615
212324.453125,-16.8949012756348
212813.90625,-16.894868850708
213304.484375,-16.8948364257813
213796.203125,-16.8948040008545
214289.0625,-16.8947696685791
214783.046875,-16.8947372436523
215278.171875,-16.894702911377
215774.4375,-16.8946704864502
216271.859375,-16.8946361541748
216770.40625,-16.894603729248
217270.125,-16.894567489624
217770.984375,-16.8945331573486
218272.984375,-16.8945007324219
218776.15625,-16.8944664001465
219280.5,-16.8944320678711
219785.984375,-16.8943958282471
220292.640625,-16.8943614959717
220800.46875,-16.8943271636963
221309.46875,-16.8942909240723
221819.640625,-16.8942565917969
222330.984375,-16.8942203521729
222843.515625,-16.8941841125488
223357.21875,-16.8941478729248
223872.109375,-16.8941116333008
224388.1875,-16.8940753936768
224905.453125,-16.8940391540527
225423.921875,-16.8940029144287
225943.578125,-16.8939666748047
226464.4375,-16.893928527832
226986.484375,-16.893892288208
227509.75,-16.893856048584
228034.203125,-16.8938179016113
228559.875,-16.8937797546387
229086.765625,-16.8937435150146
229614.859375,-16.893705368042
230144.1875,-16.8936672210693
230674.71875,-16.893627166748
231206.484375,-16.8935890197754
231739.46875,-16.8935508728027
232273.671875,-16.8935127258301
232809.125,-16.8934726715088
233345.8125,-16.8934345245361
233883.71875,-16.8933944702148
234422.875,-16.8933544158936
234963.28125,-16.8933162689209
235504.921875,-16.8932762145996
236047.828125,-16.8932361602783
236591.96875,-16.8931941986084
237137.375,-16.8931541442871
237684.03125,-16.8931140899658
238231.953125,-16.8930740356445
238781.125,-16.8930320739746
239331.578125,-16.8929901123047
239883.296875,-16.8929500579834
240436.28125,-16.8929080963135
240990.546875,-16.8928661346436
241546.078125,-16.8928241729736
242102.90625,-16.8927822113037
242661.015625,-16.8927402496338
243220.40625,-16.8926963806152
243781.078125,-16.8926544189453
244343.0625,-16.8926124572754
244906.328125,-16.8925685882568
245470.890625,-16.8925247192383
246036.765625,-16.8924808502197
246603.9375,-16.8924369812012
247172.421875,-16.8923931121826
247742.203125,-16.8923492431641
248313.3125,-16.8923053741455
248885.734375,-16.8922595977783
249459.46875,-16.8922157287598
250034.53125,-16.8921699523926
250610.921875,-16.892126083374
251188.640625,-16.8920803070068
251767.6875,-16.8920345306396
252348.078125,-16.8919887542725
252929.796875,-16.8919429779053
253512.859375,-16.8918972015381
254097.265625,-16.8918495178223
254683.03125,-16.8918037414551
255270.125,-16.8917560577393
255858.59375,-16.8917083740234
256448.40625,-16.8916625976563
257039.578125,-16.8916149139404
257632.109375,-16.8915672302246
258226.015625,-16.8915195465088
258821.296875,-16.891471862793
259417.9375,-16.8914222717285
260015.953125,-16.8913745880127
260615.359375,-16.8913249969482
261216.140625,-16.8912754058838
261818.296875,-16.8912258148193
262421.84375,-16.8911762237549
263026.8125,-16.8911266326904
263633.125,-16.891077041626
264240.875,-16.8910274505615
264850,-16.8909759521484
265460.5625,-16.8909244537354
266072.5,-16.8908748626709
266685.875,-16.8908233642578
267300.65625,-16.8907718658447
267916.84375,-16.8907203674316
